Use Group,Uses Header,Uses (NAICS Code),Zoning District,Permitted Value
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),C5,●SP
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),C5,●SP
X,Food Manufacturing (311),Animal food manufacturing (3111),C6,–
X,Food Manufacturing (311),Sugar manufacturing (31131),C6,–
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),C6,●SP
X,Food Manufacturing (311),Animal slaughtering and processing (3116),C6,–
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),C6,–
X,Food Manufacturing (311),All other food manufacturing (in 311),C6,●SP
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),C6,–
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),C6,●SP
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),C6,●SP
X,Food Manufacturing (311),Animal food manufacturing (3111),C7,–
X,Food Manufacturing (311),Sugar manufacturing (31131),C7,–
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),C7,●SP
X,Food Manufacturing (311),Animal slaughtering and processing (3116),C7,–
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),C7,–
X,Food Manufacturing (311),All other food manufacturing (in 311),C7,●SP
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),C7,–
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),C7,●SP
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),C7,●SP
X,Food Manufacturing (311),Animal food manufacturing (3111),C8,–
X,Food Manufacturing (311),Sugar manufacturing (31131),C8,–
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),C8,●P
X,Food Manufacturing (311),Animal slaughtering and processing (3116),C8,–
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),C8,–
X,Food Manufacturing (311),All other food manufacturing (in 311),C8,●P
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),C8,–
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),C8,●P
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),C8,●P
X,Food Manufacturing (311),Animal food manufacturing (3111),M1,●P
X,Food Manufacturing (311),Sugar manufacturing (31131),M1,●P
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),M1,●P
X,Food Manufacturing (311),Animal slaughtering and processing (3116),M1,●P
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),M1,●P
X,Food Manufacturing (311),All other food manufacturing (in 311),M1,●P
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),M1,●P
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),M1,●P
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),M1,●P
X,Food Manufacturing (311),Animal food manufacturing (3111),M2,●P
X,Food Manufacturing (311),Sugar manufacturing (31131),M2,●P
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),M2,●P
X,Food Manufacturing (311),Animal slaughtering and processing (3116),M2,●P
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),M2,●P
X,Food Manufacturing (311),All other food manufacturing (in 311),M2,●P
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),M2,●P
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),M2,●P
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),M2,●P
X,Food Manufacturing (311),Animal food manufacturing (3111),M3,●P
X,Food Manufacturing (311),Sugar manufacturing (31131),M3,●P
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),M3,●P
X,Food Manufacturing (311),Animal slaughtering and processing (3116),M3,●P
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),M3,●P
X,Food Manufacturing (311),All other food manufacturing (in 311),M3,●P
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),M3,●P
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),M3,●P
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),M3,●P
X,Food Manufacturing (311),Animal food manufacturing (3111),PRC ,D1
X,Food Manufacturing (311),Sugar manufacturing (31131),PRC ,D1
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),PRC ,D1
X,Food Manufacturing (311),Animal slaughtering and processing (3116),PRC ,D1
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),PRC ,D1
X,Food Manufacturing (311),All other food manufacturing (in 311),PRC ,D1
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),PRC ,D1
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing ( in 3121 ),PRC ,D1
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),PRC ,D1
