Use Group,Use Header,Use Name,Zoning District,Permitted Value
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)","Office supplies, stationary, and gift retailers (4594)",R1,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Used merchandise retailers (4595),R1,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Miscellaneous retailers (4599),R1,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Postal service (4911),R1,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Couriers and express delivery services (4921),R1,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Local messengers and local delivery (4922),R1,–
VI Services,Telecommunications (517),Wired and wireless telecommunications (5171),R1,–
VI Services,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (518)","Computing infrastructure providers, data processing, web hosting, and related services (5182)",R1,–
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)",R1,–
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)",R1,–
VI Services,Insurance Carriers and Related Activities (524),Insurance carriers and related activities (5241 and 5242),R1,–
VI Services,"Funds, Trusts and Other Financial Vehicles (525)","Funds, trusts and other financial vehicles (5251 and 5259)",R1,–
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)",R1,–
VI Services,Rental and Leasing Services (532),Automotive equipment rental and leasing (5321),R1,–
VI Services,Rental and Leasing Services (532),Consumer electronics and appliances rental (53221),R1,–
VI Services,Rental and Leasing Services (532),Recreational goods rental (532284),R1,–
VI Services,Rental and Leasing Services (532),All other consumer goods rentals (in 5322),R1,–
VI Services,Rental and Leasing Services (532),General rental centers (5323),R1,–
VI Services,Rental and Leasing Services (532),Commercial and industrial machinery and equipment rental and leasing (5324),R1,–
VI Services,"Professional, Scientific, and Technical Services (541)",Veterinary services (54194),R1,–
VI Services,"Professional, Scientific, and Technical Services (541)","All other professional, scientific, and technical services (in 541)",R1,–
VI Services,Management of Companies and Enterprises (551),Management of companies and enterprises (5511),R1,–
VI Services,Administrative and Support Services (561),Travel and reservation services (5615),R1,–
VI Services,Administrative and Support Services (561),Carpet and upholstery cleaning services (56174),R1,–
VI Services,Administrative and Support Services (561),All other services to buildings and dwellings (in 5617),R1,–
VI Services,Administrative and Support Services (561),All other administrative and support services (in 561),R1,–
VI Services,Educational Services (611),Business schools and computer and management training (6114),R1,–
VI Services,Educational Services (611),Technical and trade schools (6115),R1,–
VI Services,Educational Services (611),All other schools and instruction (6116 and 6117),R1,–
VI Services,Food Services and Drinking Places (722),Special food services (7223),R1,–
VI Services,Food Services and Drinking Places (722),Eating or drinking establishments (7224 and 7225),R1,–
VI Services,Repair and Maintenance (811),#Heavy motor vehicle repair and maintenance shops#,R1,–
VI Services,Repair and Maintenance (811),#Light motor vehicle repair and maintenance shops#,R1,–
VI Services,Repair and Maintenance (811),Car washes (811192),R1,–
VI Services,Repair and Maintenance (811),Electronic and precision equipment repair and maintenance (8112),R1,–
VI Services,Repair and Maintenance (811),Commercial and industrial machinery and equipment repair and maintenance (8113),R1,–
VI Services,Repair and Maintenance (811),Bicycle repair,R1,–
VI Services,Repair and Maintenance (811),Recreational boat repair,R1,–
VI Services,Repair and Maintenance (811),Home and garden equipment and appliance repair and maintenance (81141),R1,–
VI Services,Repair and Maintenance (811),All other personal and household goods repair and maintenance (in 8114),R1,–
VI Services,Personal and Laundry Services (812),#Health and fitness establishments#,R1,–
VI Services,Personal and Laundry Services (812),All other personal care services (in 8121),R1,–
VI Services,Personal and Laundry Services (812),Funeral homes and funeral services (81221),R1,–
VI Services,Personal and Laundry Services (812),Crematoriums,R1,–
VI Services,Personal and Laundry Services (812),Personal laundry services,R1,–
VI Services,Personal and Laundry Services (812),Personal dry cleaning services,R1,–
VI Services,Personal and Laundry Services (812),Industrial dry cleaning and laundry services,R1,–
VI Services,Personal and Laundry Services (812),Pet care services (81291),R1,–
VI Services,Personal and Laundry Services (812),All other personal services (in 8129),R1,–
VII,Laboratories,Laboratories,R1,○
VII,Offices,"Offices, business, professional including ambulatory diagnostic or treatment health care, or governmental",R1,○
VIII,Amusement and Recreation Facilities,#Amusement or recreation facilities#,R1,–
VIII,Amusement and Recreation Facilities,#Select entertainment facilities#,R1,–
VIII,Amusement and Recreation Facilities,#Outdoor amusement parks#,R1,–
VIII,Art Galleries and Studios,Art galleries,R1,–
VIII,Art Galleries and Studios,"Art, music, dancing or theatrical studios",R1,–
VIII,Art Galleries and Studios,Production or entertainment studios,R1,–
VIII,Entertainment and Sporting Venues,Arenas or auditoriums,R1,–
VIII,Entertainment and Sporting Venues,Drive-in theaters,R1,–
VIII,Entertainment and Sporting Venues,Racetracks,R1,–
VIII,Entertainment and Sporting Venues,Stadiums,R1,–
VIII,Entertainment and Sporting Venues,Theaters,R1,–
VIII,Other Assembly Spaces,"Banquet, function or reception halls",R1,–
VIII,Other Assembly Spaces,Gaming facilities,R1,–
VIII,Other Assembly Spaces,Historical exhibits,R1,–
VIII,Other Assembly Spaces,Meeting halls,R1,–
VIII,Other Assembly Spaces,Non-commercial clubs,R1,–
VIII,Other Assembly Spaces,Observation decks,R1,–
VIII,Other Assembly Spaces,Outdoor day camps,R1,○
VIII,Other Assembly Spaces,Publicly accessible spaces,R1,–
VIII,Other Assembly Spaces,Riding academies or stables,R1,○
VIII,Other Assembly Spaces,Trade expositions,R1,–
IX(A),General Storage,Building materials or contractors' yard,R1,–
IX(A),General Storage,"Depositories for storage of office records, microfilm or computer tapes, or for data processing",R1,–
IX(A),General Storage,Micro-distribution facility,R1,–
IX(A),General Storage,Moving or storage offices,R1,–
IX(A),General Storage,#Self-service storage facility#,R1,–
IX(A),General Storage,Trucking terminals or motor freight stations,R1,–
IX(A),General Storage,Warehouses,R1,–
IX(A),General Storage,Wholesale establishments,R1,–
IX(B),Specialized Storage,Coal or gas storage,R1,–
IX(B),Specialized Storage,"Explosives storage, when not prohibited by other ordinances",R1,–
IX(B),Specialized Storage,Grain storage,R1,–
IX(B),Specialized Storage,"Junk or salvage yards, including auto wrecking or similar establishments",R1,–
IX(B),Specialized Storage,Lumber yard,R1,–
IX(B),Specialized Storage,"Manure, peat or topsoil storage",R1,–
IX(B),Specialized Storage,"Petroleum or petroleum products, storage or handling",R1,–
IX(B),Specialized Storage,Refrigerating plants,R1,–
IX(B),Specialized Storage,"Scrap metal, junk, paper or rags storage, sorting, or baling",R1,–
IX(C),Vehicle Storage,Boat storage,R1,–
IX(C),Vehicle Storage,"Commercial or public vehicle storage, including #accessory# motor fuel pumps",R1,–
IX(C),Vehicle Storage,Dead storage of motor vehicles,R1,–
IX(C),Vehicle Storage,#Public parking garages# or #public parking lots#,R1,–
X,Food Manufacturing (311),Animal food manufacturing (3111),R1,–
X,Food Manufacturing (311),Sugar manufacturing (31131),R1,–
X,Food Manufacturing (311),All other sugar and confectionary product manufacturing (in 3113),R1,–
X,Food Manufacturing (311),Animal slaughtering and processing (3116),R1,–
X,Food Manufacturing (311),Seafood product preparation and packaging (3117),R1,–
X,Food Manufacturing (311),All other food manufacturing (in 311),R1,–
X,Beverage and Tobacco Product Manufacturing (312),Distilleries (31214),R1,–
X,Beverage and Tobacco Product Manufacturing (312),All other beverage manufacturing (in 3121),R1,–
X,Beverage and Tobacco Product Manufacturing (312),Tobacco manufacturing (3122),R1,–
X,Textile & Textile Product Mills (313 - 314),Textile mills (313),R1,–
X,Textile & Textile Product Mills (313 - 314),Textile product mills (314),R1,–
X,Apparel Manufacturing (315),Apparel manufacturing (315),R1,–
X,Leather and Allied Product Manufacturing (316),Leather and hide tanning and finishing (3161),R1,–
X,Leather and Allied Product Manufacturing (316),Footwear manufacturing (3162),R1,–
X,Leather and Allied Product Manufacturing (316),Other leather and allied product manufacturing (3169),R1,–
X,Wood Product Manufacturing (321),Sawmills and wood preservation (3211),R1,–
X,Wood Product Manufacturing (321),"Veneer, plywood, and engineered wood product manufacturing (3212)",R1,–
X,Wood Product Manufacturing (321),Other wood product manufacturing (3219),R1,–
X,Paper Manufacturing (322),"Pulp, paper, and paperboard mills (3221)",R1,–
X,Paper Manufacturing (322),Stationary product manufacturing (32223),R1,–
X,Paper Manufacturing (322),All other converted paper product manufacturing (in 3222),R1,–
X,Printing and Related Support Activities (323),Printing and related support activities (3231),R1,–
X,Petroleum and Coal Products Manufacturing (324),Petroleum and coal products manufacturing (3241),R1,–
X,Chemical Manufacturing (325),Pharmaceutical and medicine manufacturing (3254),R1,–
X,Chemical Manufacturing (325),Soap and other detergent manufacturing (325611),R1,–
X,Chemical Manufacturing (325),"All other soap, cleaning compound and toilet preparation manufacturing (in 3256)",R1,–
X,Chemical Manufacturing (325),All other chemical manufacturing (in 325),R1,–
X,Plastics and Rubber Products Manufacturing (326),Plastics and rubber products manufacturing (326),R1,–
X,Nonmetallic Mineral Product Manufacturing (327),Clay building material and refractories manufacturing (32712),R1,–
X,Nonmetallic Mineral Product Manufacturing (327),All other clay product and refractory manufacturing (in 3271),R1,–
X,Nonmetallic Mineral Product Manufacturing (327),Flat glass manufacturing (327211),R1,–
X,Nonmetallic Mineral Product Manufacturing (327),Other pressed and blown glass and glassware manufacturing (327212),R1,–
X,Nonmetallic Mineral Product Manufacturing (327),All other glass and glass product manufacturing (in 3272),R1,–
X,Nonmetallic Mineral Product Manufacturing (327),All other nonmetallic mineral product manufacturing (in 327),R1,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Primary metal manufacturing (331),R1,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Cutlery and handtool manufacturing (3322),R1,–
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),All other fabricated metal product manufacturing (in 332),R1,–
X,Machinery Manufacturing (333),"Agriculture, construction and mining machinery manufacturing (3331)",R1,–
X,Machinery Manufacturing (333),All other machinery manufacturing (in 333),R1,–
X,Computer and Electronic Product Manufacturing (334),Computer and peripheral equipment manufacturing (334),R1,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Electric lighting equipment manufacturing (3351),R1,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Small electrical appliance manufacturing (33521),R1,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Major household appliance manufacturing (33522),R1,–
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",All other electrical equipment and component manufacturing (in 335),R1,–
X,Transportation Equipment Manufacturing (336),Transportation equipment manufacturing (336),R1,–
X,Furniture and Related Product Manufacturing (337),Furniture and related product manufacturing (337),R1,–
X,Miscellaneous Manufacturing (339),Medical equipment and supplies manufacturing (3391),R1,–
X,Miscellaneous Manufacturing (339),Other miscellaneous manufacturing (3399),R1,–
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens",R2,●P
I,Open Uses,Cemeteries,R2,–
I,Open Uses,Golf courses,R2,●
I,Open Uses,Outdoor racket courts,R2,○
I,Open Uses,Outdoor skating rinks,R2,○
I,Open Uses,#Public parks# or playgrounds or private parks,R2,●
I,Open Uses,"Sand, gravel or clay pits",R2,○
II,Residential Uses,#Single-family residence# #Detached#,R2,●
II,Residential Uses,#Single-family residence# #Zero lot line#,R2,–
II,Residential Uses,#Single-family residence# #Semi-detached#,R2,–
II,Residential Uses,#Single-family residence# Other types,R2,–
II,Residential Uses,#Two-family residence# #Detached#,R2,–
II,Residential Uses,#Two-family residence# #Zero lot line#,R2,–
II,Residential Uses,#Two-family residence# #Semi-detached#,R2,–
II,Residential Uses,#Two-family residence# Other types,R2,–
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",R2,–
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,R2,○
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates",R2,●
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,R2,●
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,R2,●
III(A),Health Institutions and Facilities,#Long-term care facilities#,R2,○
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,R2,●P
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,R2,●S
III(A),Other Institutions and Facilities,Settlement houses,R2,●
III(B),Educational Institutions,"Colleges or universities, including professional schools but excluding business colleges or trade schools",R2,○
III(B),Educational Institutions,#Schools#,R2,●
III(B),Faith-based Institutions and Facilities,Houses of worship,R2,●
III(B),Faith-based Institutions and Facilities,Parish houses without sleeping accommodations,R2,●
III(B),Faith-based Institutions and Facilities,Seminaries without sleeping accommodations,R2,●
III(B),Health Institutions and Facilities,Ambulatory diagnostic or treatment health care facilities,R2,–
III(B),Health Institutions and Facilities,"Non-profit or voluntary hospitals and related facilities, except animal hospitals",R2,●
III(B),Health Institutions and Facilities,"Proprietary hospitals and related facilities, except animal hospitals",R2,–
III(B),Other Institutions and Facilities,Community centers,R2,●
III(B),Other Institutions and Facilities,Libraries,R2,●
III(B),Other Institutions and Facilities,Museums,R2,●
III(B),Other Institutions and Facilities,Non-commercial art galleries,R2,●
III(B),Other Institutions and Facilities,Non-commercial clubs,R2,○
III(B),Other Institutions and Facilities,Non-commercial recreation centers,R2,●
III(B),Other Institutions and Facilities,"Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities",R2,●S
III(B),Other Institutions and Facilities,Welfare centers,R2,○
IV(A),Public Service Buildings,Court houses,R2,–
IV(A),Public Service Buildings,Fire or police stations,R2,○
IV(A),Other Facilities,Prisons,R2,–
IV(B),Communication Infrastructure,"Radio or television towers, non-#accessory#",R2,○
IV(B),Communication Infrastructure,Telephone exchanges or other communications equipment structures,R2,○
IV(B),Electric and Gas Infrastructure,Electric power or steam generating plants,R2,–
IV(B),Electric and Gas Infrastructure,Electric utility substations,R2,○
IV(B),Electric and Gas Infrastructure,Gas utility substations,R2,○
IV(B),Electric and Gas Infrastructure,Public utility stations for oil or gas metering or regulating,R2,○
IV(B),Electric and Gas Infrastructure,"Terminal facilities at river crossings for access to electric, gas, or steam lines",R2,○
IV(B),"Sewage, Storm Water and Waste Infrastructure",Composting,R2,–
IV(B),"Sewage, Storm Water and Waste Infrastructure","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles",R2,–
IV(B),"Sewage, Storm Water and Waste Infrastructure","Incineration or reduction of garbage, offal or dead animals",R2,–
IV(B),"Sewage, Storm Water and Waste Infrastructure",Radioactive waste disposal services involving the handling or storage of radioactive waste,R2,–
IV(B),"Sewage, Storm Water and Waste Infrastructure",Sewage disposal plants,R2,○
IV(B),"Sewage, Storm Water and Waste Infrastructure",Water or sewage pumping stations,R2,○
IV(B),Transportation Infrastructure,Airports,R2,–
IV(B),Transportation Infrastructure,Boat launching facilities for non-commercial pleasure boats,R2,–
IV(B),Transportation Infrastructure,Bus stations,R2,–
IV(B),Transportation Infrastructure,Docks,R2,–
IV(B),Transportation Infrastructure,"Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations",R2,–
IV(B),Transportation Infrastructure,Heliports,R2,–
IV(B),Transportation Infrastructure,Mooring facilities for non-commercial pleasure boats,R2,–
IV(B),Transportation Infrastructure,Public transit or railroad electric substations,R2,○
IV(B),Transportation Infrastructure,"Public transit yards, including #accessory# motor fuel pumps",R2,–
IV(B),Transportation Infrastructure,Railroad or transit rights-of-way,R2,●
IV(B),Transportation Infrastructure,Railroad passenger stations,R2,○
IV(B),Transportation Infrastructure,Seaplane bases,R2,○
IV(B),Transportation Infrastructure,Truck weighing stations,R2,–
IV(C),Renewable Energy and Green Infrastructure,#Energy infrastructure equipment#,R2,●S     P
IV(C),Renewable Energy and Green Infrastructure,Public bicycle and micromobility parking,R2,–
IV(C),Renewable Energy and Green Infrastructure,"Recycling, or organic material, receiving",R2,–
V,Transient Accommodations,#Motels#,R2,–
V,Transient Accommodations,Overnight camps,R2,○
V,Transient Accommodations,#Tourist cabins#,R2,–
V,Transient Accommodations,#Transient hotels#,R2,–
VI Retail,Motor Vehicle and Parts Dealer (441),Automobile dealers (4411),R2,–
VI Retail,Motor Vehicle and Parts Dealer (441),Boat dealers (441222),R2,–
VI Retail,Motor Vehicle and Parts Dealer (441),All other motor vehicle dealers (in 4412),R2,–
VI Retail,Motor Vehicle and Parts Dealer (441),"Automotive parts, accessories and tire retailers (4413)",R2,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),"Lumber yards, retail (in 444180)",R2,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),All other building material and supplies dealers (in 4441),R2,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),Lawn and garden equipment and supplies retailers (4442),R2,–
VI Retail,Food and Beverage Retailers (445),Grocery and convenience retailers (4451),R2,–
VI Retail,Food and Beverage Retailers (445),Specialty food retailers (4452),R2,–
VI Retail,Food and Beverage Retailers (445),"Beer, wine and liquor retailers (4453)",R2,–
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Furniture and home furnishing retailers (4491),R2,–
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Electronics and appliance retailers (4492),R2,–
VI Retail,General Merchandise Retailers (455),Department stores (4551),R2,–
VI Retail,General Merchandise Retailers (455),"Warehouse clubs, supercenters, and other general merchandise retailers (4552)",R2,–
VI Retail,Health and Personal Care Retailers (456),Health and personal care retailers (4561),R2,–
VI Retail,Gasoline Stations and Fuel Dealers (457),#Automotive service stations#,R2,–
VI Retail,Gasoline Stations and Fuel Dealers (457),Electric vehicle charging and battery swapping,R2,–
VI Retail,Gasoline Stations and Fuel Dealers (457),Boat fuel sales,R2,–
VI Retail,Gasoline Stations and Fuel Dealers (457),Fuel dealers (4572),R2,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Clothing and clothing accessories retailers (4581),R2,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Shoe retailers (4582),R2,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)","Jewelry, luggage, and leather goods retailers (4583)",R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Sporting goods retailers (45911),R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",All other hobby and musical instrument retailers (in 4591),R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Book retailers,R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",News dealers,R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Florists (4593),R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)","Office supplies, stationary, and gift retailers (4594)",R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Used merchandise retailers (4595),R2,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Miscellaneous retailers (4599),R2,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Postal service (4911),R2,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Couriers and express delivery services (4921),R2,–
VI Services,Postal Service (491) / Couriers and Messengers (492),Local messengers and local delivery (4922),R2,–
VI Services,Telecommunications (517),Wired and wireless telecommunications (5171),R2,–
